Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"A Holzinger, M Dehmer, F Emmert-Streib, R Cucchiara…","Information fusion as an integrative cross-cutting enabler to achieve robust, explainable, and trustworthy medical artificial intelligence",2022,"Information …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1566253521002050","https://scholar.google.com/scholar?cites=9152627594047007367&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-14 09:14:15","HTML","","","",,,,,13,13.00,3,5,1,"… and trustworthy. To be trustworthy, any AI must comply with applicable rules and regulations, adhere to ethical principles [17], and be implemented in a secure and robust manner, as …","https://www.sciencedirect.com/science/article/pii/S1566253521002050","https://scholar.google.com/scholar?q=related:hyqc2E2qBH8J:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
10,"D Kaur, S Uslu, KJ Rittichier, A Durresi","Trustworthy artificial intelligence: a review",2022,"ACM Computing Surveys …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3491209?casa_token=jO_c6q2uSO8AAAAA:nmIi_mCyXQYxBCz76YbDgtw1Ka2wqYfDg1hnt0N9TviIOgdlgFNZ-sA-JY2LAiFMmxYEpi5f5YZLDA","https://scholar.google.com/scholar?cites=14467285841548123485&as_sdt=2005&sciodt=2007&hl=en",11,"2022-07-14 09:14:15","","10.1145/3491209","","",,,,,10,10.00,3,4,1,"… the AI systems to make them trustworthy: lawful, ethical, and robust. Lawful means that the AI … Robust means that the AI system should be technically robust while being ethical and lawful…","https://dl.acm.org/doi/pdf/10.1145/3491209?casa_token=5ReZBTP86j0AAAAA:WFzCg4nbqDgLo12VblPOT5HVQBYwX7d7izHKmn46dm1X60Z88TKLD2xee7Osn8xLpopjCWKP8QXLYw","https://scholar.google.com/scholar?q=related:XZ2DadIfxsgJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
12,"TM Harrison, LF Luna-Reyes","Cultivating trustworthy artificial intelligence in digital government",2022,"Social Science Computer …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0894439320980122?casa_token=UDjxqUmygzMAAAAA:zzbntpq1JBU0zUPiUHHiyfY7N0CIu5sWVd1FY-7pYZS_15IruCZ28DGNtW2yv97QCzLWAzz1jXraCA","https://scholar.google.com/scholar?cites=7881063961399449992&as_sdt=2005&sciodt=2007&hl=en",25,"2022-07-14 09:14:15","","10.1177/0894439320980122","","",,,,,12,12.00,6,2,1,"… We propose several conditions that create a foundation for deploying trustworthy AI … we also recommend actions to create conditions for trustworthy AI. We conclude in the sixth …","https://journals.sagepub.com/doi/pdf/10.1177/0894439320980122?casa_token=jhPpgDkO5HsAAAAA:DEaZWGaO08EbLVXrH7X8Pxy_4tmrptufyC4VIe4cNmDbr8yGkwfiJUSCtfQcHibUd9jfPWcH6pD3YA","https://scholar.google.com/scholar?q=related:iNlYz-opX20J:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
4,"N Hasani, MA Morris, A Rhamim, RM Summers…","Trustworthy Artificial Intelligence in Medical Imaging",2022,"PET clinics","pet.theclinics.com","https://www.pet.theclinics.com/article/S1556-8598(21)00076-6/abstract","https://scholar.google.com/scholar?cites=4199189762318034586&as_sdt=2005&sciodt=2007&hl=en",34,"2022-07-14 09:14:15","","","","",,,,,4,4.00,1,5,1,"… trustworthy may or may not be trusted, and that someone who is trusting may trust someone who is not trustworthy. … we trust will also be trustworthy, and those trustworthy will be trusted. …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8785402/","https://scholar.google.com/scholar?q=related:mmZsL9eERjoJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
4,"A Pery, M Rafiei, M Simon…","Trustworthy artificial intelligence and process mining: challenges and opportunities",2022,"… Conference on Process …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-98581-3_29","https://scholar.google.com/scholar?cites=16005106838422492735&as_sdt=2005&sciodt=2007&hl=en",36,"2022-07-14 09:14:15","HTML","10.1007/978-3-030-98581-3_29","","",,,,,4,4.00,1,4,1,"The premise of this paper is that compliance with Trustworthy AI governance best practices and regulatory frameworks is an inherently fragmented process spanning across diverse …","https://link.springer.com/chapter/10.1007/978-3-030-98581-3_29","https://scholar.google.com/scholar?q=related:PxZZ8N6PHd4J:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
0,"A McGovern, I Ebert-Uphoff, DJ Gagne…","Why we need to focus on developing ethical, responsible, and trustworthy artificial intelligence approaches for environmental science",2022,"Environmental Data …","cambridge.org","https://www.cambridge.org/core/journals/environmental-data-science/article/why-we-need-to-focus-on-developing-ethical-responsible-and-trustworthy-artificial-intelligence-approaches-for-environmental-science/8A32BECCE5FBB518F982855FAB6553D4","",40,"2022-07-14 09:14:15","","","","",,,,,0,0.00,0,4,1,"Given the growing use of Artificial intelligence (AI) and machine learning (ML) methods across all aspects of environmental sciences, it is imperative that we initiate a discussion about …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8A32BECCE5FBB518F982855FAB6553D4/S263446022200005Xa.pdf/why_we_need_to_focus_on_developing_ethical_responsible_and_trustworthy_artificial_intelligence_approaches_for_environmental_science.pdf","https://scholar.google.com/scholar?q=related:jH6m-S5sY6oJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
0,"B Hadji Misheva, J Papenbrock","Explainable, Trustworthy, and Responsible AI for the Financial Service Industry",2022,"… in Artificial Intelligence","static.frontiersin.org","https://static.frontiersin.org/articles/10.3389/frai.2022.902519/full","",49,"2022-07-14 09:14:15","HTML","10.3389/frai.2022.902519","","",,,,,0,0.00,0,2,1,"… first coordinated research on Artificial Intelligence (AI) began … and validate models that are robust and remain relatively stable … be done in a responsible, trustworthy way, especially in the …","https://static.frontiersin.org/articles/10.3389/frai.2022.902519/full",""
0,"N Emaminejad, R Akhavian","Trustworthy AI and robotics: Implications for the AEC industry",2022,"Automation in Construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580522001716","",50,"2022-07-14 09:14:15","HTML","","","",,,,,0,0.00,0,2,1,"… The growing sociotechnical influence of Artificial Intelligence (AI) and AI-powered robotics is … as regularization and robust inference are methods to produce robust machine learning …","https://www.sciencedirect.com/science/article/pii/S0926580522001716","https://scholar.google.com/scholar?q=related:9oCFKCgDb1kJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
0,"MCA Clare, M Sonnewald, R Lguensat…","Explainable Artificial Intelligence for Bayesian Neural Networks: Towards trustworthy predictions of ocean dynamics",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2205.00202","",54,"2022-07-14 09:14:15","","","","",,,,,0,0.00,0,4,1,"… These XAI methods reveal the extent to which the BNN is suitable and/or trustworthy. Using two techniques gives a more holistic view of BNN skill and its uncertainty, as LRP considers …","https://arxiv.org/pdf/2205.00202","https://scholar.google.com/scholar?q=related:_boWd5tIzp0J:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
0,"P Xiong, S Buffett, S Iqbal, P Lamontagne…","Towards a robust and trustworthy machine learning system development: An engineering perspective",2022,"Journal of Information …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214212622000138?casa_token=BEID6Kh0TvEAAAAA:n6JjYHNaHOW6tz5CzrlfPuM7RScO30nt2dfsKKmN0R-72mmoShQBfH-NZ6F-1WhkTeSBqFPtAC4","",64,"2022-07-14 09:14:15","HTML","","","",,,,,0,0.00,0,5,1,"… Our work differs itself from the existing surveys by (i) exploring the fundamental principles and best practices to support robust and trustworthy ML system development, and (ii) studying …","https://www.sciencedirect.com/science/article/pii/S2214212622000138?casa_token=BEID6Kh0TvEAAAAA:n6JjYHNaHOW6tz5CzrlfPuM7RScO30nt2dfsKKmN0R-72mmoShQBfH-NZ6F-1WhkTeSBqFPtAC4","https://scholar.google.com/scholar?q=related:qMUkDm2CXZQJ:scholar.google.com/&scioq=%22robust%22+%22artificial+intelligence%22+%22trustworthy%22&hl=en&as_sdt=2007"
