Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Bin Cheng, Jianchao Yang, Shuicheng Yan, Yun Fu, Thomas S. Huang","Learning With l(1)-Graph for Image Analysis",2010,"Ieee Transactions On Image Processing","","","",1,"2022-07-13 14:21:12","Article","10.1109/TIP.2009.2038764","1057-7149","",19,4,858,866,0,0.00,0,5,12,"","",""
0,"Chen Lu, Zhen-Ya Wang, Wei -Li Qin, Jian Ma","Fault diagnosis of rotary machinery components using a stacked denoising autoencoder-based health state identification",2017,"Signal Processing","","","",2,"2022-07-13 14:21:12","Article","10.1016/j.sigpro.2016.07.028","0165-1684","",130,,377,388,0,0.00,0,4,5,"","",""
0,"Kangwook Lee, Maximilian Lam, Ramtin Pedarsani, Dimitris Papailiopoulos, Kannan Ramchandran","Speeding Up Distributed Machine Learning Using Codes",2018,"Ieee Transactions On Information Theory","","","",3,"2022-07-13 14:21:12","Article","10.1109/TIT.2017.2736066","0018-9448","",64,3,1514,1529,0,0.00,0,5,4,"","",""
0,"Guy Gilboa, Stanley Osher","Nonlocal linear image regularization and supervised segmentation",2007,"Multiscale Modeling & Simulation","","","",4,"2022-07-13 14:21:12","Article","10.1137/060669358","1540-3459","",6,2,595,630,0,0.00,0,2,15,"","",""
0,"Mehran Ahmadlou, Hojjat Adeli","Enhanced probabilistic neural network with local decision circles: A robust classifier",2010,"Integrated Computer-Aided Engineering","","","",5,"2022-07-13 14:21:12","Article","10.3233/ICA-2010-0345","1069-2509","",17,3,197,210,0,0.00,0,2,12,"","",""
0,"XG Zhang, X Lu, Q Shi, XQ Xu, HCE Leung, LN Harris, J D Iglehart, A Miron, JS Liu, WH Wong","Recursive SVM feature selection and sample classification for mass-spectrometry and microarray data",2006,"Bmc Bioinformatics","","","",6,"2022-07-13 14:21:12","Article","10.1186/1471-2105-7-197","1471-2105","",7,,,,0,0.00,0,10,16,"","",""
0,"Badong Chen, Jianji Wang, Haiquan Zhao, Nanning Zheng, Jose C. Principe","Convergence of a Fixed-Point Algorithm under Maximum Correntropy Criterion",2015,"Ieee Signal Processing Letters","","","",7,"2022-07-13 14:21:12","Article","10.1109/LSP.2015.2428713","1070-9908","",22,10,1723,1727,0,0.00,0,5,7,"","",""
0,"RS DeFries, JCW Chan","Multiple criteria for evaluating machine learning algorithms for land cover classification from satellite data",2000,"Remote Sensing Of Environment","","","",8,"2022-07-13 14:21:12","Article","","0034-4257","",74,3,503,515,0,0.00,0,2,22,"","",""
0,"Shengyuan Li, Xuefeng Zhao, Guangyi Zhou","Automatic pixel-level multiple damage detection of concrete structure using fully convolutional network",2019,"Computer-Aided Civil And Infrastructure Engineering","","","",9,"2022-07-13 14:21:12","Article","10.1111/mice.12433","1093-9687","",34,7,616,634,0,0.00,0,3,3,"","",""
0,"Daming Li, Lianbing Deng, Brij Bhooshan Gupta, Haoxiang Wang, Chang Choi","A novel CNN based security guaranteed image watermarking generation scenario for smart city applications",2019,"Information Sciences","","","",10,"2022-07-13 14:21:12","Article","10.1016/j.ins.2018.02.060","0020-0255","",479,,432,447,0,0.00,0,5,3,"","",""
0,"Cristiano Ballabio, Simone Sterlacchini","Support Vector Machines for Landslide Susceptibility Mapping: The Staffora River Basin Case Study, Italy",2012,"Mathematical Geosciences","","","",11,"2022-07-13 14:21:12","Article","10.1007/s11004-011-9379-9","1874-8961","",44,1,47,70,0,0.00,0,2,10,"","",""
0,"Xian Tao, Dapeng Zhang, Wenzhi Ma, Xilong Liu, De Xu","Automatic Metallic Surface Defect Detection and Recognition with Convolutional Neural Networks",2018,"Applied Sciences-Basel","","","",12,"2022-07-13 14:21:12","Article","10.3390/app8091575","","",8,9,,,0,0.00,0,5,4,"","",""
0,"Xiang Li, Wei Zhang, Qian Din","A robust intelligent fault diagnosis method for rolling element bearings based on deep distance metric learning",2018,"Neurocomputing","","","",13,"2022-07-13 14:21:12","Article","10.1016/j.neucom.2018.05.021","0925-2312","",310,,77,95,0,0.00,0,3,4,"","",""
0,"C. L. Philip Chen, Chun-Yang Zhang, Long Chen, Min Gan","Fuzzy Restricted Boltzmann Machine for the Enhancement of Deep Learning",2015,"Ieee Transactions On Fuzzy Systems","","","",14,"2022-07-13 14:21:12","Article","10.1109/TFUZZ.2015.2406889","1063-6706","",23,6,2163,2173,0,0.00,0,4,7,"","",""
0,"Te Han, Dongxiang Jiang, Qi Zhao, Lei Wang, Kai Yin","Comparison of random forest, artificial neural networks and support vector machine for intelligent diagnosis of rotating machinery",2018,"Transactions Of The Institute Of Measurement And Control","","","",15,"2022-07-13 14:21:12","Article","10.1177/0142331217708242","0142-3312","",40,8,2681,2693,0,0.00,0,5,4,"","",""
0,"Nicholas D. Lane, Petko Georgiev, Lorena Qendro, ACM","DeepEar: Robust Smartphone Audio Sensing in Unconstrained Acoustic Environments using Deep Learning",2015,"Proceedings Of The 2015 Acm International Joint Conference On Pervasive And Ubiquitous Computing (Ubicomp 2015)","","","",16,"2022-07-13 14:21:12","Proceedings Paper","10.1145/2750858.2804262","","",,,283,294,0,0.00,0,4,7,"","",""
0,"Boyuan Yang, Ruonan Liu, Xuefeng Chen","Fault Diagnosis for a Wind Turbine Generator Bearing via Sparse Representation and Shift-Invariant K-SVD",2017,"Ieee Transactions On Industrial Informatics","","","",17,"2022-07-13 14:21:12","Article","10.1109/TII.2017.2662215","1551-3203","",13,3,1321,1331,0,0.00,0,3,5,"","",""
0,"Hayden Schaeffer","Learning partial differential equations via data discovery and sparse optimization",2017,"Proceedings Of The Royal Society A-Mathematical Physical And Engineering Sciences","","","",18,"2022-07-13 14:21:12","Article","10.1098/rspa.2016.0446","1364-5021","",473,2197,,,0,0.00,0,1,5,"","",""
0,"Haomin Zhang, Ian McLoughlin, Yan Song, IEEE","ROBUST SOUND EVENT RECOGNITION USING CONVOLUTIONAL NEURAL NETWORKS",2015,"2015 Ieee International Conference On Acoustics, Speech, And Signal Processing (Icassp)","","","",19,"2022-07-13 14:21:12","Proceedings Paper","","1520-6149","",,,559,563,0,0.00,0,4,7,"","",""
0,"Alexios Koutsoukas, Keith J. Monaghan, Xiaoli Li, Jun Huan","Deep-learning: investigating deep neural networks hyper-parameters and comparison of performance to shallow methods for modeling bioactivity data",2017,"Journal Of Cheminformatics","","","",20,"2022-07-13 14:21:12","Article","10.1186/s13321-017-0226-y","1758-2946","",9,,,,0,0.00,0,4,5,"","",""
0,"N Ye, YB Zhang, CM Borror","Robustness of the Markov-chain model for cyber-attack detection",2004,"Ieee Transactions On Reliability","","","",21,"2022-07-13 14:21:12","Article","10.1109/TR.2004.823851","0018-9529","",53,1,116,123,0,0.00,0,3,18,"","",""
0,"Chia-Feng Juang, Ren-Bo Huang, Wei-Yuan Cheng","An Interval Type-2 Fuzzy-Neural Network With Support-Vector Regression for Noisy Regression Problems",2010,"Ieee Transactions On Fuzzy Systems","","","",22,"2022-07-13 14:21:12","Article","10.1109/TFUZZ.2010.2046904","1063-6706","",18,4,686,699,0,0.00,0,3,12,"","",""
0,"Zefeng Li, Men-Andrin Meier, Egill Hauksson, Zhongwen Zhan, Jennifer Andrews","Machine Learning Seismic Wave Discrimination: Application to Earthquake Early Warning",2018,"Geophysical Research Letters","","","",23,"2022-07-13 14:21:12","Article","10.1029/2018GL077870","0094-8276","",45,10,4773,4779,0,0.00,0,5,4,"","",""
0,"Gil Elbaz, Tamar Avraham, Anath Fischer, IEEE","3D Point Cloud Registration for Localization using a Deep Neural Network Auto-Encoder",2017,"30th Ieee Conference On Computer Vision And Pattern Recognition (Cvpr 2017)","","","",24,"2022-07-13 14:21:12","Proceedings Paper","10.1109/CVPR.2017.265","1063-6919","",,,2472,2481,0,0.00,0,4,5,"","",""
0,"Mirco Ravanelli, Philemon Brakel, Maurizio Omologo, Yoshua Bengio","Light Gated Recurrent Units for Speech Recognition",2018,"Ieee Transactions On Emerging Topics In Computational Intelligence","","","",25,"2022-07-13 14:21:12","Article","10.1109/TETCI.2017.2762739","2471-285X","",2,2,92,102,0,0.00,0,4,4,"","",""
0,"Murphy Yuezhen Niu, Sergio Boixo, Vadim N. Smelyanskiy, Hartmut Neven","Universal quantum control through deep reinforcement learning",2019,"Npj Quantum Information","","","",26,"2022-07-13 14:21:12","Article","10.1038/s41534-019-0141-3","2056-6387","",5,,,,0,0.00,0,4,3,"","",""
0,"Yuwei Cui, Subutai Ahmad, Jeff Hawkins","Continuous Online Sequence Learning with an Unsupervised Neural Network Model",2016,"Neural Computation","","","",27,"2022-07-13 14:21:12","Article","10.1162/NECO_a_00893","0899-7667","",28,11,2474,2504,0,0.00,0,3,6,"","",""
0,"Huang Xiao, Battista Biggio, Blaine Nelson, Han Xiao, Claudia Eckert, Fabio Roli","Support vector machines under adversarial label contamination",2015,"Neurocomputing","","","",28,"2022-07-13 14:21:12","Article","10.1016/j.neucom.2014.08.081","0925-2312","",160,,53,62,0,0.00,0,6,7,"","",""
0,"Charlotte Pelletier, Silvia Valero, Jordi Inglada, Nicolas Champion, Claire Marais Sicre, Gerard Dedieu","Effect of Training Class Label Noise on Classification Performances for Land Cover Mapping with Satellite Image Time Series",2017,"Remote Sensing","","","",29,"2022-07-13 14:21:12","Article","10.3390/rs9020173","","",9,2,,,0,0.00,0,6,5,"","",""
0,"Zoran Miljkovic, Marko Mitic, Mihailo Lazarevic, Bojan Babic","Neural network Reinforcement Learning for visual control of robot manipulators",2013,"Expert Systems With Applications","","","",30,"2022-07-13 14:21:12","Article","10.1016/j.eswa.2012.09.010","0957-4174","",40,5,1721,1736,0,0.00,0,4,9,"","",""
0,"Jon Barker, Shinji Watanabe, Emmanuel Vincent, Jan Trmal, Int Speech Commun Assoc","The fifth 'CHiME' Speech Separation and Recognition Challenge: Dataset, task and baselines",2018,"19th Annual Conference Of The International Speech Communication Association (Interspeech 2018), Vols 1-6","","","",31,"2022-07-13 14:21:12","Proceedings Paper","10.21437/Interspeech.2018-1768","2308-457X","",,,1561,1565,0,0.00,0,5,4,"","",""
0,"Ramy Hussein, Hamid Palangi, Rabab K. Ward, Z. Jane Wang","Optimized deep neural network architecture for robust detection of epileptic seizures using EEG signals",2019,"Clinical Neurophysiology","","","",32,"2022-07-13 14:21:12","Article","10.1016/j.clinph.2018.10.010","1388-2457","",130,1,25,37,0,0.00,0,4,3,"","",""
