Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1085,"C. Bechlioulis","Robust adaptive control of feedback linearizable MIMO nonlinear systems with prescribed performance",2008,"IEEE Transactions on Automatic Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=54349115224&origin=inward",1,"2022-07-12 16:35:08","Article","10.1109/TAC.2008.929402","0018-9286","https://api.elsevier.com/content/abstract/scopus_id/54349115224",53,9,2090,2099,1085,77.50,1085,1,14,"","",""
686,"H. Zhang","Adaptive cooperative tracking control of higher-order nonlinear systems with unknown dynamics",2012,"Automatica","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005109812001811","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862846667&origin=inward",2,"2022-07-12 16:35:08","Article","10.1016/j.automatica.2012.05.008","0005-1098","https://api.elsevier.com/content/abstract/scopus_id/84862846667",48,7,1432,1439,686,68.60,686,1,10,"","",""
662,"C. Bechlioulis","Adaptive control with guaranteed transient and steady state tracking error bounds for strict feedback systems",2009,"Automatica","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005109808004676","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58349111549&origin=inward",3,"2022-07-12 16:35:08","Article","10.1016/j.automatica.2008.08.012","0005-1098","https://api.elsevier.com/content/abstract/scopus_id/58349111549",45,2,532,538,662,50.92,662,1,13,"","",""
636,"M. Chen","Robust adaptive neural network control for a class of uncertain MIMO nonlinear systems with input nonlinearities",2010,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951892250&origin=inward",4,"2022-07-12 16:35:08","Article","10.1109/TNN.2010.2042611","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/77951892250",21,5,796,812,636,53.00,636,1,12,"","",""
623,"J. Olden","An accurate comparison of methods for quantifying variable importance in artificial neural networks using simulated data",2004,"Ecological Modelling","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304380004001565","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3242721368&origin=inward",5,"2022-07-12 16:35:08","Article","10.1016/j.ecolmodel.2004.03.013","0304-3800","https://api.elsevier.com/content/abstract/scopus_id/3242721368",178,3,389,397,623,34.61,623,1,18,"","",""
449,"H. Zhang","Data-driven robust approximate optimal tracking control for unknown general nonlinear systems using adaptive dynamic programming method",2011,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=83655163786&origin=inward",6,"2022-07-12 16:35:08","Article","10.1109/TNN.2011.2168538","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/83655163786",22,12,2226,2236,449,40.82,449,1,11,"","",""
400,"Y. Li","Robust and adaptive backstepping control for nonlinear systems using RBF neural networks",2004,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542619881&origin=inward",7,"2022-07-12 16:35:08","Article","10.1109/TNN.2004.826215","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/2542619881",15,3,693,701,400,22.22,400,1,18,"","",""
391,"C. Kwan","Robust backstepping control of nonlinear systems using neural networks",2000,"IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans.","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034313434&origin=inward",8,"2022-07-12 16:35:08","Article","10.1109/3468.895898","1083-4427","https://api.elsevier.com/content/abstract/scopus_id/0034313434",30,6,753,766,391,17.77,391,1,22,"","",""
371,"A. Zou","Finite-time attitude tracking control for spacecraft using terminal sliding mode and chebyshev neural network",2011,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960700479&origin=inward",9,"2022-07-12 16:35:08","Article","10.1109/TSMCB.2010.2101592","1083-4419","https://api.elsevier.com/content/abstract/scopus_id/79960700479",41,4,950,963,371,33.73,371,1,11,"","",""
342,"A. Kendall","Geometric loss functions for camera pose regression with deep learning",2017,"Proceedings - 30th IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2017","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041946898&origin=inward",10,"2022-07-12 16:35:08","Conference Paper","10.1109/CVPR.2017.694","","https://api.elsevier.com/content/abstract/scopus_id/85041946898",2017,,6555,6564,342,68.40,342,1,5,"","",""
334,"A. Yeşildirek","Feedback linearization using neural networks",1995,"Automatica","","https://api.elsevier.com/content/article/eid/1-s2.0-000510989500078B","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029408590&origin=inward",11,"2022-07-12 16:35:08","Article","10.1016/0005-1098(95)00078-B","0005-1098","https://api.elsevier.com/content/abstract/scopus_id/0029408590",31,11,1659,1664,334,12.37,334,1,27,"","",""
304,"M. Chen","Dynamic Surface Control Using Neural Networks for a Class of Uncertain Nonlinear Systems with Input Saturation",2015,"IEEE Transactions on Neural Networks and Learning Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939785841&origin=inward",12,"2022-07-12 16:35:08","Article","10.1109/TNNLS.2014.2360933","2162-237X","https://api.elsevier.com/content/abstract/scopus_id/84939785841",26,9,2086,2097,304,43.43,304,1,7,"","",""
302,"S. Ge","Adaptive Neural Network Control of Nonlinear Systems with Unknown Time Delays",2003,"IEEE Transactions on Automatic Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344395583&origin=inward",13,"2022-07-12 16:35:08","Article","10.1109/TAC.2003.819287","0018-9286","https://api.elsevier.com/content/abstract/scopus_id/0344395583",48,11,2004,2010,302,15.89,302,1,19,"","",""
294,"M. Wang","Adaptive neural control of pure-feedback nonlinear time-delay systems via dynamic surface technique",2011,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=81955162995&origin=inward",14,"2022-07-12 16:35:08","Article","10.1109/TSMCB.2011.2159111","1083-4419","https://api.elsevier.com/content/abstract/scopus_id/81955162995",41,6,1681,1692,294,26.73,294,1,11,"","",""
290,"A. Das","Backstepping approach for controlling a quadrotor using lagrange form dynamics",2009,"Journal of Intelligent and Robotic Systems: Theory and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68749088352&origin=inward",15,"2022-07-12 16:35:08","Article","10.1007/s10846-009-9331-0","0921-0296","https://api.elsevier.com/content/abstract/scopus_id/68749088352",56,1,127,151,290,22.31,290,1,13,"","",""
285,"Y. Li","Analysis of sparse representation and blind source separation",2004,"Neural Computation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2442473143&origin=inward",16,"2022-07-12 16:35:08","Article","10.1162/089976604773717586","0899-7667","https://api.elsevier.com/content/abstract/scopus_id/2442473143",16,6,1193,1234,285,15.83,285,1,18,"","",""
271,"B. Xu","Global Neural Dynamic Surface Tracking Control of Strict-Feedback Systems with Application to Hypersonic Flight Vehicle",2015,"IEEE Transactions on Neural Networks and Learning Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944036101&origin=inward",17,"2022-07-12 16:35:08","Article","10.1109/TNNLS.2015.2456972","2162-237X","https://api.elsevier.com/content/abstract/scopus_id/84944036101",26,10,2563,2575,271,38.71,271,1,7,"","",""
270,"Q. Zhu","Robust exponential stability of markovian jump impulsive stochastic Cohen-Grossberg neural networks with mixed time delays",2010,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955510720&origin=inward",18,"2022-07-12 16:35:08","Article","10.1109/TNN.2010.2054108","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/77955510720",21,8,1314,1325,270,22.50,270,1,12,"","",""
269,"B.B. Holmes","Proteopathic tau seeding predicts tauopathy in vivo",2014,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907894705&origin=inward",19,"2022-07-12 16:35:08","Article","10.1073/pnas.1411649111","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84907894705",111,41,,,269,33.63,269,1,8,"","",""
260,"S.S. Ge","Robust adaptive neural control for a class of perturbed strict feedback nonlinear systems",2002,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036857912&origin=inward",20,"2022-07-12 16:35:08","Article","10.1109/TNN.2002.804306","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/0036857912",13,6,1409,1419,260,13.00,260,1,20,"","",""
259,"J. Cao","Global robust stability of delayed recurrent neural networks",2005,"Chaos, Solitons and Fractals","","https://api.elsevier.com/content/article/eid/1-s2.0-S096007790400236X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3142672983&origin=inward",21,"2022-07-12 16:35:08","Article","10.1016/j.chaos.2004.04.002","0960-0779","https://api.elsevier.com/content/abstract/scopus_id/3142672983",23,1,221,229,259,15.24,259,1,17,"","",""
257,"Y. Kim","Neural network output feedback control of robot manipulators",1999,"IEEE Transactions on Robotics and Automation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032631308&origin=inward",22,"2022-07-12 16:35:08","Article","10.1109/70.760351","1042-296X","https://api.elsevier.com/content/abstract/scopus_id/0032631308",15,2,301,309,257,11.17,257,1,23,"","",""
236,"J. Park","Direct adaptive controller for nonaffine nonlinear systems using self-structuring neural networks",2005,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=15344350446&origin=inward",23,"2022-07-12 16:35:08","Article","10.1109/TNN.2004.841786","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/15344350446",16,2,414,422,236,13.88,236,1,17,"","",""
234,"G. Chen","Distributed adaptive tracking control for synchronization of unknown networked lagrangian systems",2011,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957515933&origin=inward",24,"2022-07-12 16:35:08","Article","10.1109/TSMCB.2010.2095497","1083-4419","https://api.elsevier.com/content/abstract/scopus_id/79957515933",41,3,805,816,234,21.27,234,1,11,"","",""
211,"B. Xu","Robust adaptive neural control of flexible hypersonic flight vehicle with dead-zone input nonlinearity",2015,"Nonlinear Dynamics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84933677079&origin=inward",25,"2022-07-12 16:35:08","Article","10.1007/s11071-015-1958-8","0924-090X","https://api.elsevier.com/content/abstract/scopus_id/84933677079",80,3,1509,1520,211,30.14,211,1,7,"","",""
205,"M. Polycarpou","Fault accommodation of a class of multivariable nonlinear dynamical systems using a learning approach",2001,"IEEE Transactions on Automatic Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035331608&origin=inward",26,"2022-07-12 16:35:08","Article","10.1109/9.920792","0018-9286","https://api.elsevier.com/content/abstract/scopus_id/0035331608",46,5,736,742,205,9.76,205,1,21,"","",""
203,"L. Cheng","Adaptive neural network tracking control for manipulators with uncertain kinematics, dynamics and actuator model",2009,"Automatica","","https://api.elsevier.com/content/article/eid/1-s2.0-S0005109809002982","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70049103980&origin=inward",27,"2022-07-12 16:35:08","Article","10.1016/j.automatica.2009.06.007","0005-1098","https://api.elsevier.com/content/abstract/scopus_id/70049103980",45,10,2312,2318,203,15.62,203,1,13,"","",""
202,"S.F. Masri","Application of neural networks for detection of changes in nonlinear systems",2000,"Journal of Engineering Mechanics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033704242&origin=inward",28,"2022-07-12 16:35:08","Article","10.1061/(ASCE)0733-9399(2000)126:7(666)","0733-9399","https://api.elsevier.com/content/abstract/scopus_id/0033704242",126,7,666,676,202,9.18,202,1,22,"","",""
199,"M. Chen","Robust adaptive position mooring control for marine vessels",2013,"IEEE Transactions on Control Systems Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874623673&origin=inward",29,"2022-07-12 16:35:08","Article","10.1109/TCST.2012.2183676","1063-6536","https://api.elsevier.com/content/abstract/scopus_id/84874623673",21,2,395,409,199,22.11,199,1,9,"","",""
198,"S. Lin","Neural-network control of mobile manipulators",2001,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035441329&origin=inward",30,"2022-07-12 16:35:08","Article","10.1109/72.950141","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/0035441329",12,5,1121,1133,198,9.43,198,1,21,"","",""
193,"H.A. Talebi","A recurrent neural-network-based sensor and actuator fault detection and isolation for nonlinear systems with application to the satellite's attitude control subsystem",2009,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58649091979&origin=inward",31,"2022-07-12 16:35:08","Article","10.1109/TNN.2008.2004373","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/58649091979",20,1,45,60,193,14.85,193,1,13,"","",""
185,"J. Na","Adaptive control for nonlinear pure-feedback systems with high-order sliding mode observer",2013,"IEEE Transactions on Neural Networks and Learning Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880907564&origin=inward",32,"2022-07-12 16:35:08","Article","10.1109/TNNLS.2012.2225845","2162-237X","https://api.elsevier.com/content/abstract/scopus_id/84880907564",24,3,370,382,185,20.56,185,1,9,"","",""
181,"H. Shi","Embedding deep metric for person Re-identification: A study against large variations",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84990062022&origin=inward",33,"2022-07-12 16:35:08","Conference Paper","10.1007/978-3-319-46448-0_44","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/84990062022",9905,,732,748,181,30.17,181,1,6,"","",""
181,"H. Wang","Robust Adaptive Neural Tracking Control for a Class of Stochastic Nonlinear Interconnected Systems",2016,"IEEE Transactions on Neural Networks and Learning Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925873623&origin=inward",34,"2022-07-12 16:35:08","Article","10.1109/TNNLS.2015.2412035","2162-237X","https://api.elsevier.com/content/abstract/scopus_id/84925873623",27,3,510,523,181,30.17,181,1,6,"","",""
